trial,selection,replicate,id,seconds,color,side,assignedR,choice
1,B,2,190,374,NA,L,R,0
2,B,2,190,87,NA,R,R,1
3,B,2,190,83,NA,L,R,0
1,B,2,195,3258,NA,R,L,0
2,B,2,195,3600,NA,R,L,0
3,B,2,195,95,NA,L,L,1
1,B,3,196,69,NA,R,L,0
2,B,3,196,55,NA,L,L,1
3,B,3,196,102,NA,L,L,1
1,A,2,197,56,NA,L,L,1
2,A,2,197,301,NA,L,L,1
3,A,2,197,49,NA,L,L,1
